Date,Year,Month,Quarter,Sales,Trend,SeasonalityEffect,Noise
2014-01-31,2014,1,1,4648.36,0.0,399.9999999999999,248.35707650561633
2014-02-28,2014,2,1,4707.72,84.03361344537815,692.8203230275508,-69.13215058559233
2014-03-31,2014,3,1,5291.91,168.0672268907563,800.0,323.84426905034627
2014-04-30,2014,4,2,5706.44,252.10084033613447,692.820323027551,761.5149282040127
2014-05-31,2014,5,2,4619.06,336.1344537815126,399.9999999999999,-117.07668736166798
2014-06-30,2014,6,2,4303.1,420.16806722689074,9.797174393178826e-14,-117.06847847459028
2014-07-31,2014,7,3,4893.81,504.20168067226894,-399.9999999999998,789.6064077536957
2014-08-31,2014,8,3,4279.13,588.2352941176471,-692.8203230275506,383.7173645764544
2014-09-30,2014,9,3,3637.53,672.2689075630252,-800.0,-234.73719296747606
2014-10-31,2014,10,4,4334.76,756.3025210084033,-692.8203230275508,271.2800217929823
2014-11-30,2014,11,4,4208.63,840.3361344537815,-400.0000000000003,-231.70884640623112
2014-12-31,2014,12,4,4691.5,924.3697478991596,-1.9594348786357651e-13,-232.86487678512844
2015-01-31,2015,1,1,5529.38,1008.4033613445379,399.9999999999999,120.98113578301705
2015-02-28,2015,2,1,4828.62,1092.436974789916,692.8203230275508,-956.640122328899
2015-03-31,2015,3,1,5114.01,1176.4705882352941,800.0,-862.4589162565164
2015-04-30,2015,4,2,5672.18,1260.5042016806722,692.820323027551,-281.14376462048637
2015-05-31,2015,5,2,5238.12,1344.5378151260504,399.9999999999999,-506.4155601672119
2015-06-30,2015,6,2,5585.7,1428.5714285714287,9.797174393178826e-14,157.12366629763693
2015-07-31,2015,7,3,4658.59,1512.6050420168067,-399.9999999999998,-454.01203776060544
2015-08-31,2015,8,3,4197.67,1596.638655462185,-692.8203230275506,-706.1518506676457
2015-09-30,2015,9,3,5613.5,1680.672268907563,-800.0,732.824384460777
2015-10-31,2015,10,4,4959.0,1764.7058823529412,-692.8203230275508,-112.88815024326783
2015-11-30,2015,11,4,5482.5,1848.7394957983192,-400.0000000000003,33.764102343961916
2015-12-31,2015,12,4,5220.4,1932.7731092436975,-1.9594348786357651e-13,-712.3740931067284
2016-01-31,2016,1,1,6144.62,2016.8067226890757,399.9999999999999,-272.1913622625913
2016-02-29,2016,2,1,6849.12,2100.840336134454,692.8203230275508,55.461294854933044
2016-03-31,2016,3,1,6409.38,2184.873949579832,800.0,-575.4967887111515
2016-04-30,2016,4,2,7149.58,2268.90756302521,692.820323027551,187.849009172836
2016-05-31,2016,5,2,6452.62,2352.9411764705883,399.9999999999999,-300.3193449594025
2016-06-30,2016,6,2,6291.13,2436.9747899159665,9.797174393178826e-14,-145.84687489663838
2016-07-31,2016,7,3,5820.16,2521.0084033613443,-399.9999999999998,-300.85330611469846
2016-08-31,2016,8,3,6838.36,2605.0420168067226,-692.8203230275506,926.1390922544689
2016-09-30,2016,9,3,5882.33,2689.075630252101,-800.0,-6.748612368966961
2016-10-31,2016,10,4,5551.43,2773.109243697479,-692.8203230275508,-528.8554644779501
2016-11-30,2016,11,4,6868.42,2857.1428571428573,-400.0000000000003,411.27245605159453
2016-12-31,2016,12,4,6330.75,2941.176470588235,-1.9594348786357651e-13,-610.4218249855111
2017-01-31,2017,1,1,7529.64,3025.2100840336134,399.9999999999999,104.4317975023777
2017-02-28,2017,2,1,6822.23,3109.2436974789916,692.8203230275508,-979.8350619398877
2017-03-31,2017,3,1,7329.18,3193.27731092437,800.0,-664.0930244492152
2017-04-30,2017,4,2,8068.56,3277.3109243697477,692.820323027551,98.43061793456175
2017-05-31,2017,5,2,8130.58,3361.344537815126,399.9999999999999,369.23328999770524
2017-06-30,2017,6,2,7531.06,3445.378151260504,9.797174393178826e-14,85.68414059498525
2017-07-31,2017,7,3,7071.59,3529.4117647058824,-399.9999999999998,-57.824141194120266
2017-08-31,2017,8,3,6770.07,3613.4453781512607,-692.8203230275506,-150.5518477946444
2017-09-30,2017,9,3,6158.22,3697.4789915966385,-800.0,-739.2609951837137
2017-10-31,2017,10,4,6728.77,3781.5126050420167,-692.8203230275508,-359.9221041973543
2017-11-30,2017,11,4,7235.23,3865.546218487395,-400.0000000000003,-230.31938547989375
2017-12-31,2017,12,4,8478.14,3949.5798319327732,-1.9594348786357651e-13,528.5611131094579
2018-01-31,2018,1,1,8605.42,4033.6134453781515,399.9999999999999,171.8091447842307
2018-02-28,2018,2,1,7928.95,4117.64705882353,692.8203230275508,-881.520077681367
2018-03-31,2018,3,1,9163.72,4201.680672268908,800.0,162.0419846973975
2018-04-30,2018,4,2,8785.99,4285.714285714285,692.820323027551,-192.54114020815825
2018-05-31,2018,5,2,8431.29,4369.747899159664,399.9999999999999,-338.46100015297935
2018-06-30,2018,6,2,8759.62,4453.781512605042,9.797174393178826e-14,305.83814442043393
2018-07-31,2018,7,3,8653.31,4537.81512605042,-399.9999999999998,515.4997612479755
2018-08-31,2018,8,3,8394.67,4621.848739495798,-692.8203230275506,465.64005955809927
2018-09-30,2018,9,3,7486.27,4705.882352941177,-800.0,-419.60876161131927
2018-10-31,2018,10,4,7942.49,4789.915966386555,-692.8203230275508,-154.6061879256073
2018-11-30,2018,11,4,8639.58,4873.949579831933,-400.0000000000003,165.63171570178199
2018-12-31,2018,12,4,9445.76,4957.983193277311,-1.9594348786357651e-13,487.7725635611796
2019-01-31,2019,1,1,9202.43,5042.016806722689,399.9999999999999,-239.58711892264498
2019-02-28,2019,2,1,9726.04,5126.050420168067,692.8203230275508,-92.82948833190856
2019-03-31,2019,3,1,9456.92,5210.084033613445,800.0,-553.1674870030141
2019-04-30,2019,4,2,9388.83,5294.117647058823,692.820323027551,-598.1033120403354
2019-05-31,2019,5,2,10184.41,5378.151260504202,399.9999999999999,406.262911197099
2019-06-30,2019,6,2,10140.3,5462.18487394958,9.797174393178826e-14,678.1200142854115
2019-07-31,2019,7,3,9110.21,5546.218487394958,-399.9999999999998,-36.00506079016692
2019-08-31,2019,8,3,9439.2,5630.252100840336,-692.8203230275506,501.7664489460121
2019-09-30,2019,9,3,9095.1,5714.285714285715,-800.0,180.81801252381706
2019-10-31,2019,10,4,8782.94,5798.319327731092,-692.8203230275508,-322.55987730256214
2019-11-30,2019,11,4,9663.05,5882.35294117647,-400.0000000000003,180.69780275420698
2019-12-31,2019,12,4,10735.4,5966.3865546218485,-1.9594348786357651e-13,769.0182832329846
2020-01-31,2020,1,1,10432.51,6050.420168067227,399.9999999999999,-17.91301955497577
2020-02-29,2020,2,1,11609.6,6134.453781512605,692.8203230275508,782.3218279070031
2020-03-31,2020,3,1,9708.61,6218.487394957983,800.0,-1309.8725520448722
2020-04-30,2020,4,2,11406.29,6302.5210084033615,692.820323027551,410.95125218761194
2020-05-31,2020,5,2,10830.08,6386.55462184874,399.9999999999999,43.52353411908561
2020-06-30,2020,6,2,10321.08,6470.588235294118,9.797174393178826e-14,-149.50367523293374
2020-07-31,2020,7,3,10200.5,6554.621848739495,-399.9999999999998,45.88038826775115
2020-08-31,2020,8,3,8952.05,6638.655462184874,-692.8203230275506,-993.7844573004464
2020-09-30,2020,9,3,9812.85,6722.689075630252,-800.0,-109.83594391875596
2020-10-31,2020,10,4,10292.46,6806.72268907563,-692.8203230275508,178.5562857558732
2020-11-30,2020,11,4,11229.7,6890.756302521008,-400.0000000000003,738.9470223707581
2020-12-31,2020,12,4,10715.65,6974.789915966387,-1.9594348786357651e-13,-259.1351091368237
2021-01-31,2021,1,1,11054.58,7058.823529411765,399.9999999999999,-404.2468014465938
2021-02-28,2021,2,1,11584.8,7142.857142857143,692.8203230275508,-250.87852179226826
2021-03-31,2021,3,1,12484.59,7226.890756302521,800.0,457.7010588510371
2021-04-30,2021,4,2,12168.12,7310.924369747899,692.820323027551,164.37555482984223
2021-05-31,2021,5,2,11530.08,7394.957983193277,399.9999999999999,-264.8801018835194
2021-06-30,2021,6,2,11735.63,7478.991596638655,9.797174393178826e-14,256.63371655667805
2021-07-31,2021,7,3,11211.56,7563.0252100840335,-399.9999999999998,48.538774674020196
2021-08-31,2021,8,3,11438.56,7647.058823529412,-692.8203230275506,484.3224952664446
2021-09-30,2021,9,3,10580.07,7731.09243697479,-800.0,-351.0265469386762
2021-10-31,2021,10,4,10958.47,7815.126050420168,-692.8203230275508,-163.8310732988841
2021-11-30,2021,11,4,11303.11,7899.1596638655465,-400.0000000000003,-196.0540765660788
2021-12-31,2021,12,4,11251.44,7983.193277310925,-1.9594348786357651e-13,-731.7574740660593
2022-01-31,2022,1,1,12615.29,8067.226890756303,399.9999999999999,148.06013853228802
2022-02-28,2022,2,1,12974.61,8151.26050420168,692.8203230275508,130.52763608994468
2022-03-31,2022,3,1,13037.85,8235.29411764706,800.0,2.556728321230445
2022-04-30,2022,4,2,12894.85,8319.327731092437,692.820323027551,-117.29356668757346
2022-05-31,2022,5,2,12095.68,8403.361344537816,399.9999999999999,-707.6853710252071
2022-06-30,2022,6,2,12277.07,8487.394957983193,9.797174393178826e-14,-210.3226613826795
2022-07-31,2022,7,3,12000.07,8571.42857142857,-399.9999999999998,-171.35725826338475
2022-08-31,2022,8,3,11561.5,8655.46218487395,-692.8203230275506,-401.13863461080945
2022-09-30,2022,9,3,11858.85,8739.495798319327,-800.0,-80.64285583300457
2022-10-31,2022,10,4,12332.73,8823.529411764706,-692.8203230275508,202.0254284072692
2022-11-30,2022,11,4,13450.66,8907.563025210084,-400.0000000000003,943.0929506052651
2022-12-31,2022,12,4,13078.89,8991.596638655463,-1.9594348786357651e-13,87.28890641591948
2023-01-31,2023,1,1,13604.41,9075.63025210084,399.9999999999999,128.77519536138217
2023-02-28,2023,2,1,13815.26,9159.66386554622,692.8203230275508,-37.22295788308361
2023-03-31,2023,3,1,13084.31,9243.697478991597,800.0,-959.3856076495207
2023-04-30,2023,4,2,14007.29,9327.731092436974,692.820323027551,-13.25693772460844
2023-05-31,2023,5,2,13841.88,9411.764705882353,399.9999999999999,30.11510497051322
2023-06-30,2023,6,2,14727.42,9495.79831932773,9.797174393178826e-14,1231.6210562426431
2023-07-31,2023,7,3,13083.65,9579.83193277311,-399.9999999999998,-96.18048239056127
2023-08-31,2023,8,3,13121.82,9663.865546218487,-692.8203230275506,150.77367116680622
2023-09-30,2023,9,3,12930.54,9747.899159663866,-800.0,-17.355884852621656
2023-10-31,2023,10,4,12554.77,9831.932773109243,-692.8203230275508,-584.339018809766
2023-11-30,2023,11,4,14087.38,9915.966386554623,-400.0000000000003,571.4114072575103
2023-12-31,2023,12,4,14375.97,10000.0,-1.9594348786357651e-13,375.96651634338707
